Temperature,Simulations,Return,Discounted Return
1,49,1.0,0.9220814271464737
1,20,1.0,0.9138075656044898
1,58,1.0,0.9473552137914398
1,40,1.0,0.93603800616986
1,66,1.0,0.9645880999032158
1,4,0.0,0.0
1,79,1.0,0.9704017769489168
1,79,1.0,0.9616943356035061
1,86,1.0,0.9762504936564125
1,18,1.0,0.9559328248389055
1,85,1.0,0.9616943356035061
1,75,1.0,0.9704017769489168
1,77,1.0,0.9733217421754432
1,92,1.0,0.9733217421754432
1,83,1.0,0.9083329444789534
1,5,0.0,0.0
1,22,0.0,0.0
1,69,1.0,0.9762504936564125
1,88,1.0,0.9791880578299021
1,29,1.0,0.8867604854519608
1,16,1.0,0.93603800616986
1,82,1.0,0.9821344612135428
1,9,0.0,0.0
1,37,1.0,0.8683052775100066
1,16,1.0,0.9138075656044898
1,31,1.0,0.9138075656044898
1,59,1.0,0.9762504936564125
1,34,1.0,0.9473552137914398
1,6,0.0,0.0
1,51,1.0,0.9530650263643888
1,19,1.0,0.8814479033836181
1,91,1.0,0.9733217421754432
1,80,1.0,0.9388545698794984
1,14,1.0,0.8974819010978248
1,61,1.0,0.9733217421754432
1,75,1.0,0.9473552137914398
1,35,1.0,0.9416796087056153
1,61,1.0,0.8451404054461714
1,36,1.0,0.9473552137914398
1,37,0.0,0.0
1,6,1.0,0.767668872977057
1,5,0.0,0.0
1,22,1.0,0.9332298921513504
1,46,1.0,0.9588092525966956
1,37,1.0,0.9138075656044898
1,58,1.0,0.9616943356035061
1,52,1.0,0.90289112180858
1,58,1.0,0.9791880578299021
1,60,1.0,0.9821344612135428
1,67,1.0,0.860513950810667
1,77,1.0,0.985089730404757
1,57,1.0,0.9248559951318693
1,21,1.0,0.8250687380258053
1,61,1.0,0.9645880999032158
1,84,1.0,0.9645880999032158
1,43,1.0,0.9559328248389055
1,99,1.0,0.9559328248389055
1,63,1.0,0.9559328248389055
1,3,0.0,0.0
1,47,1.0,0.9530650263643888
1,34,1.0,0.9704017769489168
1,93,1.0,0.9762504936564125
1,67,1.0,0.9821344612135428
1,50,1.0,0.9616943356035061
1,86,1.0,0.9791880578299021
1,64,1.0,0.8921050870283477
1,83,1.0,0.9821344612135428
1,23,1.0,0.8250687380258053
1,96,1.0,0.9645880999032158
1,13,0.0,0.0
1,50,1.0,0.9791880578299021
1,74,1.0,0.9791880578299021
1,69,1.0,0.9733217421754432
1,97,1.0,0.9588092525966956
1,90,1.0,0.9762504936564125
1,37,1.0,0.9645880999032158
1,72,1.0,0.9791880578299021
1,2,0.0,0.0
1,11,1.0,0.9502058312852957
1,91,1.0,0.9674905716180701
1,42,1.0,0.8426049842298329
1,19,0.0,0.0
1,63,1.0,0.9704017769489168
1,11,0.0,0.0
1,53,1.0,0.9559328248389055
1,68,1.0,0.9821344612135428
1,67,1.0,0.9473552137914398
1,17,1.0,0.7653658663581259
1,85,1.0,0.9588092525966956
1,75,1.0,0.9304302024748964
1,52,1.0,0.8974819010978248
1,70,1.0,0.9645880999032158
1,20,1.0,0.8451404054461714
1,84,1.0,0.9762504936564125
1,89,1.0,0.9674905716180701
1,85,1.0,0.9733217421754432
1,43,1.0,0.9559328248389055
1,50,1.0,0.9588092525966956
1,61,1.0,0.9762504936564125
1,17,1.0,0.7584982177744161
1,53,1.0,0.9645880999032158
1,72,1.0,0.9733217421754432
1,11,1.0,0.9193151828650342
1,76,1.0,0.9674905716180701
1,22,1.0,0.9559328248389055
1,94,1.0,0.9733217421754432
1,24,1.0,0.8631032605924442
1,57,1.0,0.9821344612135428
1,55,1.0,0.9502058312852957
1,29,1.0,0.7494371162085136
1,86,1.0,0.9388545698794984
1,28,0.0,0.0
1,50,1.0,0.9791880578299021
1,89,1.0,0.9588092525966956
1,64,1.0,0.9704017769489168
1,66,1.0,0.9791880578299021
1,16,1.0,0.8527925358961662
1,63,1.0,0.9674905716180701
1,5,0.0,0.0
1,26,1.0,0.9559328248389055
1,5,0.0,0.0
1,61,1.0,0.9821344612135428
1,36,1.0,0.8947894553945313
1,22,1.0,0.9674905716180701
1,6,0.0,0.0
1,99,1.0,0.9645880999032158
1,50,1.0,0.8683052775100066
1,68,1.0,0.9762504936564125
1,69,1.0,0.9762504936564125
1,58,1.0,0.9733217421754432
1,85,1.0,0.985089730404757
1,18,1.0,0.8103284404851119
1,64,1.0,0.9704017769489168
1,17,1.0,0.8225935318117279
1,80,1.0,0.9733217421754432
1,78,1.0,0.9248559951318693
1,53,1.0,0.9645880999032158
1,15,1.0,0.8006481694852418
1,33,1.0,0.9276389118674717
1,11,1.0,0.8894287717672626
1,100,1.0,0.9791880578299021
1,10,0.0,0.0
1,98,1.0,0.9056079456455165
1,97,1.0,0.9674905716180701
1,95,1.0,0.9332298921513504
1,14,1.0,0.776950406379376
1,91,1.0,0.9674905716180701
1,4,0.0,0.0
1,3,0.0,0.0
1,52,1.0,0.9733217421754432
1,17,1.0,0.9138075656044898
1,25,1.0,0.7562227231210928
1,27,1.0,0.8947894553945313
1,78,1.0,0.985089730404757
1,47,1.0,0.9733217421754432
1,41,1.0,0.9276389118674717
1,56,1.0,0.9559328248389055
1,92,1.0,0.9821344612135428
1,9,0.0,0.0
1,89,1.0,0.9821344612135428
1,98,1.0,0.9559328248389055
1,27,1.0,0.8400771692771434
1,89,1.0,0.9588092525966956
1,22,1.0,0.9083329444789534
1,14,1.0,0.8078974551636565
1,36,1.0,0.9165572373164391
1,16,0.0,0.0
1,66,1.0,0.9762504936564125
1,16,1.0,0.8788035596734672
1,83,1.0,0.9530650263643888
1,63,1.0,0.9502058312852957
1,84,1.0,0.9791880578299021
1,77,1.0,0.985089730404757
1,87,1.0,0.9304302024748964
1,30,1.0,0.9791880578299021
1,9,0.0,0.0
1,77,1.0,0.9791880578299021
1,62,1.0,0.9704017769489168
1,14,1.0,0.9588092525966956
1,97,1.0,0.9588092525966956
1,28,1.0,0.860513950810667
1,42,1.0,0.9791880578299021
1,58,1.0,0.9762504936564125
1,99,1.0,0.9821344612135428
1,66,1.0,0.9616943356035061
1,84,1.0,0.9645880999032158
1,31,1.0,0.93603800616986
1,40,1.0,0.90289112180858
1,39,1.0,0.7792882711929549
1,97,1.0,0.9502058312852957
1,64,1.0,0.9220814271464737
1,35,1.0,0.9645880999032158
1,18,0.0,0.0
1,47,1.0,0.9388545698794984
1,81,1.0,0.9762504936564125
1,69,1.0,0.9616943356035061
1,88,1.0,0.9791880578299021
1,83,1.0,0.9733217421754432
1,30,1.0,0.9704017769489168
1,7,0.0,0.0
1,40,1.0,0.9559328248389055
1,35,1.0,0.8657003616774767
1,55,1.0,0.9473552137914398
1,4,0.0,0.0
1,8,0.0,0.0
1,85,1.0,0.9821344612135428
1,72,1.0,0.9733217421754432
1,64,1.0,0.9791880578299021
1,65,1.0,0.9276389118674717
1,60,1.0,0.9588092525966956
1,10,0.0,0.0
1,48,1.0,0.9588092525966956
1,20,0.0,0.0
1,40,1.0,0.8947894553945313
1,47,1.0,0.9502058312852957
1,6,0.0,0.0
1,22,0.0,0.0
1,50,1.0,0.9056079456455165
1,82,1.0,0.9502058312852957
1,28,0.0,0.0
1,33,0.0,0.0
1,49,1.0,0.9473552137914398
1,63,1.0,0.9762504936564125
1,96,1.0,0.9416796087056153
1,76,1.0,0.9588092525966956
1,26,0.0,0.0
1,17,0.0,0.0
1,20,0.0,0.0
1,1,0.0,0.0
1,1,0.0,0.0
1,17,1.0,0.9588092525966956
1,78,1.0,0.9762504936564125
1,26,1.0,0.884100203995605
1,17,1.0,0.8250687380258053
1,49,1.0,0.9645880999032158
1,18,0.0,0.0
1,21,1.0,0.9165572373164391
1,91,1.0,0.9559328248389055
1,46,1.0,0.9674905716180701
1,94,1.0,0.985089730404757
1,50,1.0,0.9821344612135428
1,40,1.0,0.8867604854519608
1,46,1.0,0.9588092525966956
1,84,1.0,0.9762504936564125
1,87,1.0,0.9530650263643888
1,93,1.0,0.9332298921513504
1,90,1.0,0.9733217421754432
1,54,1.0,0.9674905716180701
1,10,0.0,0.0
1,77,1.0,0.9473552137914398
1,31,0.0,0.0
1,94,1.0,0.9645880999032158
1,95,1.0,0.9704017769489168
1,13,1.0,0.857932408958235
1,92,1.0,0.9821344612135428
1,29,1.0,0.8657003616774767
1,67,1.0,0.9193151828650342
1,17,1.0,0.9416796087056153
1,41,1.0,0.985089730404757
1,21,1.0,0.79346393184295
1,3,0.0,0.0
1,81,1.0,0.9645880999032158
1,89,1.0,0.9704017769489168
1,81,1.0,0.9762504936564125
1,76,1.0,0.9821344612135428
1,34,1.0,0.8201257512162927
1,84,1.0,0.985089730404757
1,67,1.0,0.9416796087056153
1,23,0.0,0.0
1,8,0.0,0.0
1,88,1.0,0.9674905716180701
1,50,1.0,0.985089730404757
1,26,1.0,0.8761671489944468
1,22,1.0,0.8426049842298329
1,87,1.0,0.985089730404757
1,69,1.0,0.9821344612135428
1,39,1.0,0.9674905716180701
1,45,1.0,0.9416796087056153
1,59,1.0,0.9762504936564125
1,18,1.0,0.9165572373164391
1,67,1.0,0.9733217421754432
1,31,1.0,0.8553586117313603
1,69,1.0,0.9193151828650342
1,6,0.0,0.0
1,73,1.0,0.9821344612135428
1,87,1.0,0.985089730404757
1,84,1.0,0.9791880578299021
1,98,1.0,0.9220814271464737
1,52,1.0,0.9791880578299021
1,16,1.0,0.9110661429076764
1,27,1.0,0.8553586117313603
1,31,1.0,0.9645880999032158
1,57,1.0,0.9616943356035061
1,68,1.0,0.9762504936564125
1,78,1.0,0.9674905716180701
1,40,1.0,0.78398512608332
1,1,0.0,0.0
1,70,1.0,0.9762504936564125
1,96,1.0,0.9674905716180701
1,58,1.0,0.9733217421754432
1,94,1.0,0.9616943356035061
1,8,0.0,0.0
1,74,1.0,0.9304302024748964
1,12,1.0,0.857932408958235
1,42,1.0,0.8553586117313603
1,36,0.0,0.0
1,23,1.0,0.8275513922024125
1,19,1.0,0.8400771692771434
1,26,1.0,0.9193151828650342
1,85,1.0,0.9588092525966956
1,68,1.0,0.9704017769489168
1,14,0.0,0.0
1,64,1.0,0.9445131481500655
1,46,1.0,0.7887102894272789
1,9,0.0,0.0
1,60,1.0,0.9674905716180701
1,17,1.0,0.8476834558136123
1,45,1.0,0.9445131481500655
1,1,0.0,0.0
1,60,1.0,0.9733217421754432
1,59,1.0,0.9733217421754432
1,10,0.0,0.0
1,24,1.0,0.7910835400474212
1,16,0.0,0.0
1,94,1.0,0.9704017769489168
1,18,1.0,0.9332298921513504
1,14,1.0,0.8275513922024125
1,94,1.0,0.9762504936564125
1,91,1.0,0.9559328248389055
1,8,0.0,0.0
1,68,1.0,0.985089730404757
1,51,1.0,0.9704017769489168
1,21,1.0,0.8631032605924442
1,57,1.0,0.9791880578299021
1,33,1.0,0.8103284404851119
1,31,0.0,0.0
1,2,0.0,0.0
1,6,0.0,0.0
1,23,1.0,0.7910835400474212
1,30,1.0,0.8974819010978248
1,5,1.0,0.7863441585589971
1,63,1.0,0.9791880578299021
1,86,1.0,0.9821344612135428
1,61,1.0,0.9616943356035061
1,22,1.0,0.9530650263643888
1,78,1.0,0.9674905716180701
1,56,1.0,0.9733217421754432
1,56,1.0,0.9645880999032158
1,34,1.0,0.9733217421754432
1,46,1.0,0.985089730404757
1,85,1.0,0.9416796087056153
1,12,0.0,0.0
1,29,1.0,0.8451404054461714
1,99,1.0,0.9791880578299021
1,54,1.0,0.9502058312852957
1,32,1.0,0.8502341582884777
1,49,1.0,0.9791880578299021
1,26,1.0,0.8974819010978248
1,47,1.0,0.9704017769489168
1,41,1.0,0.8894287717672626
1,27,1.0,0.9416796087056153
1,61,1.0,0.9791880578299021
1,2,0.0,0.0
1,41,1.0,0.93603800616986
1,92,1.0,0.9762504936564125
1,34,1.0,0.9559328248389055
1,46,1.0,0.9791880578299021
1,70,1.0,0.9791880578299021
1,75,1.0,0.9530650263643888
1,83,1.0,0.9559328248389055
1,87,1.0,0.9165572373164391
1,64,1.0,0.9733217421754432
1,95,1.0,0.9821344612135428
1,83,1.0,0.985089730404757
1,51,1.0,0.9445131481500655
1,99,1.0,0.9762504936564125
1,46,1.0,0.7722956964947572
1,30,1.0,0.8225935318117279
1,91,1.0,0.9502058312852957
1,48,1.0,0.8947894553945313
1,85,1.0,0.9791880578299021
1,49,1.0,0.9588092525966956
1,51,1.0,0.9616943356035061
1,29,0.0,0.0
1,33,1.0,0.9138075656044898
1,59,1.0,0.9110661429076764
1,100,1.0,0.9645880999032158
1,69,1.0,0.9502058312852957
1,62,1.0,0.9445131481500655
1,2,0.0,0.0
1,15,1.0,0.9502058312852957
1,8,0.0,0.0
1,49,1.0,0.9276389118674717
1,25,0.0,0.0
1,84,1.0,0.9304302024748964
1,31,0.0,0.0
1,91,1.0,0.9733217421754432
1,25,1.0,0.8078974551636565
1,63,1.0,0.9821344612135428
1,53,1.0,0.9193151828650342
1,91,1.0,0.9791880578299021
1,76,1.0,0.9388545698794984
1,65,1.0,0.9165572373164391
1,85,1.0,0.9762504936564125
1,57,1.0,0.985089730404757
1,63,1.0,0.9704017769489168
1,86,1.0,0.9416796087056153
1,53,1.0,0.9674905716180701
1,54,1.0,0.9821344612135428
1,22,1.0,0.9616943356035061
1,98,1.0,0.9733217421754432
1,25,1.0,0.9220814271464737
1,66,1.0,0.9791880578299021
1,30,1.0,0.8867604854519608
1,8,1.0,0.8761671489944468
1,95,1.0,0.9821344612135428
1,47,1.0,0.9791880578299021
1,63,1.0,0.9588092525966956
1,11,0.0,0.0
1,56,1.0,0.9762504936564125
1,59,1.0,0.9473552137914398
1,6,0.0,0.0
1,15,1.0,0.8426049842298329
1,20,1.0,0.93603800616986
1,98,1.0,0.9616943356035061
1,37,1.0,0.8527925358961662
1,44,1.0,0.9821344612135428
1,16,1.0,0.90289112180858
1,40,1.0,0.9674905716180701
1,15,1.0,0.7958514863018556
1,68,1.0,0.9502058312852957
1,79,1.0,0.9762504936564125
1,53,1.0,0.9502058312852957
1,29,0.0,0.0
1,27,1.0,0.8761671489944468
1,48,1.0,0.9220814271464737
1,64,1.0,0.9416796087056153
1,87,1.0,0.9821344612135428
1,58,1.0,0.9674905716180701
1,90,1.0,0.9645880999032158
1,51,1.0,0.9762504936564125
1,52,1.0,0.90289112180858
1,50,1.0,0.9530650263643888
1,86,1.0,0.9588092525966956
1,43,1.0,0.9762504936564125
1,25,1.0,0.9445131481500655
1,49,1.0,0.7958514863018556
1,86,1.0,0.9791880578299021
1,4,0.0,0.0
1,86,1.0,0.985089730404757
1,80,1.0,0.9445131481500655
1,97,1.0,0.985089730404757
1,27,1.0,0.7653658663581259
1,18,1.0,0.7887102894272789
1,36,1.0,0.7562227231210928
1,85,1.0,0.9704017769489168
1,36,0.0,0.0
1,13,1.0,0.7816331707050701
1,51,1.0,0.9616943356035061
1,47,1.0,0.9559328248389055
1,1,0.0,0.0
1,72,1.0,0.9762504936564125
1,56,1.0,0.93603800616986
1,12,0.0,0.0
1,19,1.0,0.8709180316048211
1,94,1.0,0.9445131481500655
1,33,1.0,0.8201257512162927
1,7,0.0,0.0
1,67,1.0,0.9304302024748964
1,38,0.0,0.0
1,75,1.0,0.9791880578299021
1,40,1.0,0.9056079456455165
1,92,1.0,0.985089730404757
1,11,1.0,0.8502341582884777
1,21,1.0,0.9110661429076764
1,17,1.0,0.8476834558136123
1,49,1.0,0.9645880999032158
1,41,1.0,0.9220814271464737
1,78,1.0,0.985089730404757
1,19,1.0,0.747188804859888
1,4,0.0,0.0
1,29,1.0,0.9276389118674717
1,8,0.0,0.0
1,3,0.0,0.0
1,86,1.0,0.9165572373164391
1,3,0.0,0.0
1,44,1.0,0.9762504936564125
1,12,1.0,0.776950406379376
1,35,1.0,0.90289112180858
1,18,1.0,0.9674905716180701
1,90,1.0,0.9674905716180701
1,72,1.0,0.985089730404757
1,16,1.0,0.7653658663581259
1,62,1.0,0.9791880578299021
1,45,1.0,0.9530650263643888
1,6,0.0,0.0
1,50,1.0,0.93603800616986
1,76,1.0,0.9821344612135428
1,14,1.0,0.9193151828650342
1,20,1.0,0.835044266956004
1,88,1.0,0.9704017769489168
1,25,1.0,0.9332298921513504
1,65,1.0,0.9733217421754432
1,78,1.0,0.9791880578299021
1,100,1.0,0.9821344612135428
1,15,0.0,0.0
1,17,1.0,0.9165572373164391
1,14,1.0,0.8814479033836181
1,8,1.0,0.8103284404851119
1,4,0.0,0.0
1,33,1.0,0.9388545698794984
1,76,1.0,0.9791880578299021
1,34,1.0,0.9616943356035061
1,24,1.0,0.9388545698794984
1,73,1.0,0.9674905716180701
1,50,1.0,0.9276389118674717
1,36,1.0,0.9733217421754432
1,91,1.0,0.985089730404757
1,58,1.0,0.9645880999032158
1,95,1.0,0.9821344612135428
1,41,1.0,0.9332298921513504
1,65,1.0,0.9821344612135428
1,18,1.0,0.803057341509771
1,70,1.0,0.9704017769489168
1,97,1.0,0.9674905716180701
1,42,1.0,0.9530650263643888
1,42,1.0,0.9530650263643888
1,7,0.0,0.0
1,50,1.0,0.9704017769489168
1,84,1.0,0.9821344612135428
1,18,1.0,0.8250687380258053
1,84,1.0,0.9165572373164391
1,57,1.0,0.9762504936564125
1,94,1.0,0.9704017769489168
1,44,1.0,0.884100203995605
1,7,0.0,0.0
1,18,1.0,0.9588092525966956
1,46,1.0,0.9645880999032158
1,82,1.0,0.93603800616986
1,17,0.0,0.0
1,14,1.0,0.8947894553945313
1,84,1.0,0.9821344612135428
1,73,1.0,0.9791880578299021
1,13,1.0,0.7863441585589971
1,72,1.0,0.9616943356035061
1,17,1.0,0.8947894553945313
1,53,1.0,0.9704017769489168
1,70,1.0,0.9733217421754432
1,84,1.0,0.9791880578299021
1,87,1.0,0.9588092525966956
1,86,1.0,0.9821344612135428
1,81,1.0,0.9704017769489168
1,78,1.0,0.9616943356035061
1,72,1.0,0.8761671489944468
1,57,1.0,0.9762504936564125
1,26,1.0,0.9193151828650342
1,9,0.0,0.0
1,19,0.0,0.0
1,17,1.0,0.8921050870283477
1,45,1.0,0.8867604854519608
1,86,1.0,0.9704017769489168
1,41,1.0,0.8631032605924442
1,8,0.0,0.0
1,83,1.0,0.9388545698794984
1,86,1.0,0.9588092525966956
1,58,1.0,0.9645880999032158
1,53,1.0,0.9645880999032158
1,99,1.0,0.9762504936564125
1,7,0.0,0.0
1,85,1.0,0.9083329444789534
1,65,1.0,0.9332298921513504
1,33,1.0,0.7516921927868743
1,78,1.0,0.9588092525966956
1,43,1.0,0.9791880578299021
1,68,1.0,0.9762504936564125
1,59,1.0,0.9674905716180701
1,94,1.0,0.9791880578299021
1,50,1.0,0.9530650263643888
1,11,0.0,0.0
1,71,1.0,0.9733217421754432
1,21,0.0,0.0
1,94,1.0,0.9616943356035061
1,26,1.0,0.9588092525966956
1,96,1.0,0.9821344612135428
1,5,0.0,0.0
1,19,1.0,0.7746195551602378
1,47,1.0,0.9733217421754432
1,27,1.0,0.9616943356035061
1,97,1.0,0.9704017769489168
1,42,1.0,0.9821344612135428
1,9,0.0,0.0
1,56,1.0,0.9762504936564125
1,28,1.0,0.8527925358961662
1,27,0.0,0.0
1,51,1.0,0.9588092525966956
1,55,1.0,0.9220814271464737
1,59,1.0,0.9616943356035061
1,17,0.0,0.0
1,53,1.0,0.9762504936564125
1,42,1.0,0.90289112180858
1,75,1.0,0.9762504936564125
1,22,1.0,0.8400771692771434
1,71,1.0,0.9083329444789534
1,66,1.0,0.9645880999032158
1,73,1.0,0.9704017769489168
1,74,1.0,0.9762504936564125
1,96,1.0,0.9616943356035061
1,90,1.0,0.9674905716180701
1,37,1.0,0.9530650263643888
1,98,1.0,0.9416796087056153
1,68,1.0,0.9530650263643888
1,68,1.0,0.9473552137914398
1,75,1.0,0.93603800616986
1,1,0.0,0.0
1,92,1.0,0.9791880578299021
1,64,1.0,0.9645880999032158
1,97,1.0,0.9821344612135428
1,40,1.0,0.9276389118674717
1,12,1.0,0.8426049842298329
1,15,1.0,0.8631032605924442
1,55,1.0,0.8814479033836181
1,92,1.0,0.9791880578299021
1,13,1.0,0.7449472384453084
1,1,0.0,0.0
1,3,0.0,0.0
1,97,1.0,0.9821344612135428
1,12,0.0,0.0
1,95,1.0,0.9473552137914398
1,87,1.0,0.9645880999032158
1,97,1.0,0.9704017769489168
1,38,1.0,0.8683052775100066
1,45,1.0,0.8974819010978248
1,2,0.0,0.0
1,87,1.0,0.9645880999032158
1,22,1.0,0.9138075656044898
1,81,1.0,0.9791880578299021
1,53,1.0,0.9762504936564125
1,78,1.0,0.9559328248389055
1,66,1.0,0.9083329444789534
1,26,1.0,0.8761671489944468
1,37,1.0,0.8814479033836181
1,100,1.0,0.9733217421754432
1,49,1.0,0.9332298921513504
1,13,0.0,0.0
1,1,0.0,0.0
1,60,1.0,0.9530650263643888
1,3,0.0,0.0
1,2,0.0,0.0
1,56,1.0,0.9588092525966956
1,35,1.0,0.9674905716180701
1,80,1.0,0.9674905716180701
1,79,1.0,0.9674905716180701
1,51,1.0,0.9276389118674717
1,56,1.0,0.9821344612135428
1,59,1.0,0.9704017769489168
1,57,1.0,0.9762504936564125
1,93,1.0,0.9762504936564125
1,100,1.0,0.9645880999032158
1,89,1.0,0.9762504936564125
1,89,1.0,0.9559328248389055
1,36,1.0,0.9704017769489168
1,90,1.0,0.9821344612135428
1,50,1.0,0.9762504936564125
1,22,0.0,0.0
1,31,0.0,0.0
1,38,1.0,0.9083329444789534
1,6,0.0,0.0
1,96,1.0,0.9165572373164391
1,81,1.0,0.9674905716180701
1,14,0.0,0.0
1,92,1.0,0.9193151828650342
1,75,1.0,0.9616943356035061
1,84,1.0,0.9791880578299021
1,58,1.0,0.9704017769489168
1,60,1.0,0.9416796087056153
1,4,0.0,0.0
1,51,1.0,0.9473552137914398
1,66,1.0,0.9502058312852957
1,44,1.0,0.9304302024748964
1,39,1.0,0.9588092525966956
1,98,1.0,0.9645880999032158
1,94,1.0,0.9445131481500655
1,15,1.0,0.9193151828650342
1,57,1.0,0.9445131481500655
1,61,1.0,0.9416796087056153
1,67,1.0,0.9821344612135428
1,36,1.0,0.8553586117313603
1,20,1.0,0.884100203995605
1,46,1.0,0.9559328248389055
1,24,1.0,0.9502058312852957
1,31,1.0,0.9110661429076764
1,46,1.0,0.9704017769489168
1,3,0.0,0.0
1,19,1.0,0.78398512608332
1,96,1.0,0.9645880999032158
1,58,1.0,0.9473552137914398
1,91,1.0,0.9674905716180701
1,90,1.0,0.985089730404757
1,73,1.0,0.9588092525966956
1,49,1.0,0.9821344612135428
1,62,1.0,0.9645880999032158
1,33,1.0,0.9473552137914398
1,23,1.0,0.9416796087056153
1,18,1.0,0.8400771692771434
1,14,1.0,0.7816331707050701
1,21,1.0,0.8300415167526705
1,57,1.0,0.9616943356035061
1,56,1.0,0.9704017769489168
1,78,1.0,0.9674905716180701
1,39,1.0,0.9645880999032158
1,7,0.0,0.0
1,40,1.0,0.93603800616986
1,54,1.0,0.9821344612135428
1,55,1.0,0.9276389118674717
1,51,1.0,0.9733217421754432
1,64,1.0,0.9821344612135428
1,48,1.0,0.9276389118674717
1,71,1.0,0.8814479033836181
1,81,1.0,0.985089730404757
1,28,1.0,0.9001824484431542
1,22,1.0,0.8921050870283477
1,74,1.0,0.9530650263643888
1,72,1.0,0.9821344612135428
1,54,1.0,0.9559328248389055
1,71,1.0,0.9220814271464737
1,79,1.0,0.9473552137914398
1,25,1.0,0.8788035596734672
1,20,1.0,0.9445131481500655
1,77,1.0,0.9645880999032158
1,97,1.0,0.9704017769489168
1,97,1.0,0.9762504936564125
1,62,1.0,0.9821344612135428
1,95,1.0,0.9704017769489168
1,43,1.0,0.9083329444789534
1,43,1.0,0.93603800616986
1,13,1.0,0.8527925358961662
1,81,1.0,0.9821344612135428
1,9,0.0,0.0
1,92,1.0,0.9530650263643888
1,68,1.0,0.9791880578299021
1,74,1.0,0.985089730404757
1,48,1.0,0.9821344612135428
1,58,1.0,0.9588092525966956
1,73,1.0,0.9791880578299021
1,21,1.0,0.9502058312852957
1,36,1.0,0.8127667407072335
1,7,0.0,0.0
1,6,0.0,0.0
1,15,0.0,0.0
1,51,1.0,0.9645880999032158
1,6,0.0,0.0
1,12,1.0,0.8527925358961662
1,69,1.0,0.9762504936564125
1,50,1.0,0.9733217421754432
1,38,1.0,0.93603800616986
1,1,0.0,0.0
1,7,0.0,0.0
1,60,1.0,0.9559328248389055
1,12,1.0,0.8814479033836181
1,94,1.0,0.9762504936564125
1,66,1.0,0.9304302024748964
1,19,1.0,0.8921050870283477
1,67,1.0,0.9248559951318693
1,7,0.0,0.0
1,9,0.0,0.0
1,63,1.0,0.985089730404757
1,42,1.0,0.9220814271464737
1,88,1.0,0.9674905716180701
1,21,0.0,0.0
1,57,1.0,0.9762504936564125
1,56,1.0,0.9674905716180701
1,7,0.0,0.0
1,40,1.0,0.9220814271464737
1,7,1.0,0.837556937769312
1,42,1.0,0.9704017769489168
1,11,0.0,0.0
1,87,1.0,0.9704017769489168
1,75,1.0,0.9762504936564125
1,34,0.0,0.0
1,17,0.0,0.0
1,66,1.0,0.9704017769489168
1,43,1.0,0.9304302024748964
1,72,1.0,0.985089730404757
1,9,0.0,0.0
1,47,1.0,0.9674905716180701
1,41,1.0,0.9473552137914398
1,4,0.0,0.0
1,96,1.0,0.9674905716180701
1,51,1.0,0.9762504936564125
1,29,1.0,0.8476834558136123
1,39,1.0,0.8814479033836181
1,36,1.0,0.9001824484431542
1,29,1.0,0.9388545698794984
1,100,1.0,0.9138075656044898
1,10,0.0,0.0
1,100,1.0,0.9821344612135428
1,29,1.0,0.9559328248389055
1,25,1.0,0.8761671489944468
1,63,1.0,0.9791880578299021
1,22,1.0,0.7449472384453084
1,17,1.0,0.9165572373164391
1,100,1.0,0.9473552137914398
1,55,1.0,0.9530650263643888
1,81,1.0,0.9616943356035061
1,31,1.0,0.8735386475474635
1,26,1.0,0.9530650263643888
1,64,1.0,0.9791880578299021
1,46,1.0,0.9193151828650342
1,23,1.0,0.8275513922024125
1,67,1.0,0.9502058312852957
1,24,1.0,0.9416796087056153
1,82,1.0,0.9821344612135428
1,24,1.0,0.9416796087056153
1,79,1.0,0.9193151828650342
1,35,0.0,0.0
1,41,1.0,0.9110661429076764
1,81,1.0,0.9445131481500655
1,22,1.0,0.8631032605924442
1,52,1.0,0.9559328248389055
1,65,1.0,0.9704017769489168
1,12,1.0,0.8006481694852418
1,43,1.0,0.9762504936564125
1,7,0.0,0.0
1,49,1.0,0.9733217421754432
1,88,1.0,0.9704017769489168
1,31,1.0,0.9332298921513504
1,36,1.0,0.9304302024748964
1,31,1.0,0.8527925358961662
1,90,1.0,0.985089730404757
1,57,1.0,0.9762504936564125
1,97,1.0,0.9473552137914398
